iter	Logloss
0	0.5460454066
1	0.4618942867
2	0.3880897274
3	0.305460713
4	0.2628555022
5	0.2317184283
6	0.2075430529
7	0.1856508496
8	0.1681461541
9	0.1530562308
10	0.1388782405
11	0.1267599939
12	0.1142062246
13	0.1055558683
14	0.0980097361
15	0.08904566575
16	0.08337328666
17	0.07823853889
18	0.0731465171
19	0.06909948136
20	0.06236545962
21	0.05921034004
22	0.05643742007
23	0.05378712816
24	0.051513393
25	0.0491873056
26	0.04704449926
27	0.0447528061
28	0.04271574743
29	0.04092744972
30	0.03930854109
31	0.03780743706
32	0.03589928624
33	0.03474118477
34	0.03207873954
35	0.03109579396
36	0.03012614818
37	0.02927027541
38	0.02846547757
39	0.02735874885
40	0.0257399831
41	0.02494792904
42	0.02413539336
43	0.02344040922
44	0.02231337964
45	0.02180924054
46	0.02060356553
47	0.02015847161
48	0.01959045011
49	0.019187731
50	0.01877208393
51	0.01828426575
52	0.01793713518
53	0.01738635728
54	0.01709265141
55	0.01627076146
56	0.01598823114
57	0.01567944034
58	0.01538935809
59	0.01510604452
60	0.01477522282
61	0.01451752074
62	0.01418910302
63	0.01381912645
64	0.01362557187
65	0.01336078265
66	0.01311795376
67	0.0128830228
68	0.01251653472
69	0.01217983174
70	0.01190230993
71	0.01161704339
72	0.01139249354
73	0.01118547908
74	0.01105081131
75	0.01087545402
76	0.01070934168
77	0.01044630058
78	0.01031410995
79	0.01017098995
80	0.01003247994
81	0.009931285459
82	0.009670390119
83	0.00945614047
84	0.009346464481
85	0.009228974904
86	0.008957639068
87	0.008759391867
88	0.008654603029
89	0.008547936966
90	0.008437161842
91	0.008337501154
92	0.008249740738
93	0.008156673142
94	0.008064428391
95	0.007749135744
96	0.007682105694
97	0.007617077673
98	0.007558708156
99	0.007493265269
